Input,Unit Number,Unit Type,Lesse,Status,City,Depot,Manuf. Year/Month,Manufacturer
segu7304880,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7304895,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7304909,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7304914,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7304920,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7304935,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7304940,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7304956,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7304961,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7304977,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7304982,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7304998,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305000,SEGU7305000,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305016,SEGU7305016,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305021,SEGU7305021,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305037,SEGU7305037,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,Off Hire,MED-IT-GOA - Genoa,Derrick Service S R L - 1992,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305042,SEGU7305042,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305058,SEGU7305058,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305063,SEGU7305063,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305079,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305084,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305090,SEGU7305090,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305103,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305119,SEGU7305119,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305124,SEGU7305124,OT4 - 40' Open Top,Sold,,Not Found,Not Found,D/DK/4850-042/2012,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305130,SEGU7305130,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305145,SEGU7305145,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305150,SEGU7305150,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,Off Hire,MED-IT-GOA - Genoa,Derrick Service S R L - 1992,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305166,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305171,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305187,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305192,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305206,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305211,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305227,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305232,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305248,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305253,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305269,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305274,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305280,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305295,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305309,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305314,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305320,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305335,SEGU7305335,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305340,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305356,SEGU7305356,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305361,SEGU7305361,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305377,SEGU7305377,OT4 - 40' Open Top,CMA CGM,On Hire,NWE-DE-HAM - Hamburg,Remain GmbH - 1706,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305382,SEGU7305382,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305398,SEGU7305398,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305401,SEGU7305401,OT4 - 40' Open Top,Sold,,Not Found,Not Found,D/DK/4850-042/2012,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305417,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305422,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305438,SEGU7305438,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305443,SEGU7305443,OT4 - 40' Open Top,Sold,,Not Found,Not Found,D/DK/4850-042/2012,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305459,SEGU7305459,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305464,SEGU7305464,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305470,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305485,SEGU7305485,OT4 - 40' Open Top,Sold,,Not Found,Not Found,D/DK/4850-042/2012,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305490,SEGU7305490,OT4 - 40' Open Top,Sold,,Not Found,Not Found,D/DK/4850-042/2012,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305504,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305510,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305525,SEGU7305525,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305530,SEGU7305530,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305546,SEGU7305546,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,Off Hire,NWE-FR-LEH - Le Havre,Arnal Le Havre - 1268,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305551,SEGU7305551,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305567,SEGU7305567,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305572,SEGU7305572,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305588,SEGU7305588,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305593,SEGU7305593,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,Off Hire,MED-IT-GOA - Genoa,Derrick Service S R L - 1992,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305607,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305612,SEGU7305612,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,Off Hire,MED-IT-GOA - Genoa,Derrick Service S R L - 1992,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305628,SEGU7305628,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,Off Hire,SEA-SG-SIN - Singapore,Eng Kong Container Agencies Pte Ltd - 1547,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305633,SEGU7305633,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305649,SEGU7305649,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,Off Hire,SEA-SG-SIN - Singapore,Eng Kong Container Agencies Pte Ltd - 1547,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305654,SEGU7305654,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305660,SEGU7305660,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,Off Hire,ISC-IN-BOM - Mumbai,Bay Container Terminal PVT. LTD. - 1056,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305675,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305680,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305696,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305700,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305715,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305720,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305736,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305741,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305757,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305762,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305778,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305783,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305799,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305802,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305818,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305823,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305839,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305844,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305850,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305865,SEGU7305865,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305870,SEGU7305870,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305886,SEGU7305886,OT4 - 40' Open Top,Sold,,Not Found,Not Found,D/DK/4850-042/2012,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305891,SEGU7305891,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305905,SEGU7305905,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305910,SEGU7305910,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305926,SEGU7305926,OT4 - 40' Open Top,Sold,,Not Found,Not Found,D/DK/4850-042/2012,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305931,SEGU7305931,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305947,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305952,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7305968,SEGU7305968,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305973,SEGU7305973,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305989,SEGU7305989,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7305994,SEGU7305994,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,Off Hire,ISC-IN-BOM - Mumbai,Bay Container Terminal PVT. LTD. - 1056,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306007,SEGU7306007,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,Off Hire,NWE-DE-HAM - Hamburg,Remain GmbH - 1706,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306012,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306028,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306033,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306049,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306054,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306060,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306075,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306080,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306096,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306100,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306115,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306120,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306136,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306141,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306157,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306162,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306178,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306183,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306199,SEGU7306199,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306202,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306218,SEGU7306218,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306223,SEGU7306223,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306239,SEGU7306239,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306244,SEGU7306244,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306250,SEGU7306250,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306265,SEGU7306265,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,Off Hire,ISC-IN-BOM - Mumbai,Bay Container Terminal PVT. LTD. - 1056,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306270,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306286,SEGU7306286,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306291,SEGU7306291,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306305,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306310,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306326,SEGU7306326,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,Off Hire,MCH-CN-SHA - Shanghai,Greating Fortune Shanghai Container - 1713,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306331,SEGU7306331,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306347,SEGU7306347,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306352,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306368,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306373,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306389,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306394,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306408,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306413,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306429,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306434,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306440,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306455,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306460,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306476,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306481,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306497,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306500,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306516,SEGU7306516,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306521,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306537,SEGU7306537,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306542,SEGU7306542,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306558,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
segu7306563,SEGU7306563,OT4 - 40' Open Top,CMA CGM,On Hire,NWE-DE-HAM - Hamburg,Remain GmbH - 1706,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306579,SEGU7306579,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
segu7306584,SEGU7306584,OT4 - 40' Open Top,Sarjak Container Lines Pvt. Ltd & S,On Hire,MCH-CN-ZYC - Changzhou Manuf,Changzhou Xinhuachang International - 9521,2012/09,CXIC Group Hong Kong Company Limited - CXIC CHANGZ
